,Date,Timestamp,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana
,,,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP
,,,solana-staking,solana,Total,staking,solana-staking,solana,solana,Total,Total,staking,solana-staking,solana,solana,Total,Total,staking
,,,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,,nirvana-ana,tether,usd-coin,tether,usd-coin,nirvana-ana,nirvana-ana,tether,usd-coin,tether,usd-coin,nirvana-ana
,17/02/2023,1676592000,170128.18614799462,0.000121898384,0.000121898384,170128.18614799462,170128.18614799462,0.000066966969,0.000054931415,0.000066966969,0.000054931415,170128.18614799462,1801480.1896270001,0.000067,0.000055,0.000067,0.000055,1801480.1896270001
,18/02/2023,1676678400,168658.2151254294,0.000121988409,0.000121988409,168658.2151254294,168658.2151254294,0.00006698840900000001,0.000055,0.00006698840900000001,0.000055,168658.2151254294,1801480.582827,0.000067,0.000055,0.000067,0.000055,1801480.582827
,19/02/2023,1676764800,173358.27796602502,0.000121959625,0.000121959625,173358.27796602502,173358.27796602502,0.000066984925,0.0000549747,0.000066984925,0.0000549747,173358.27796602502,1801480.582827,0.000067,0.000055,0.000067,0.000055,1801480.582827
,20/02/2023,1676851200,172240.09298850514,0.00012189499099999999,0.00012189499099999999,172240.09298850514,172240.09298850514,0.000066908411,0.00005498658,0.000066908411,0.00005498658,172240.09298850514,1801806.544292,0.000067,0.000055,0.000067,0.000055,1801806.544292
,21/02/2023,1676937600,166323.02509122968,0.000121886678,0.000121886678,166323.02509122968,166323.02509122968,0.000066966098,0.00005492058,0.000066966098,0.00005492058,166323.02509122968,1801807.246219,0.000067,0.000055,0.000067,0.000055,1801807.246219
,22/02/2023,1677024000,167211.31606361564,0.000122128005,0.000122128005,167211.31606361564,167211.31606361564,0.000067134,0.000054994005,0.000067134,0.000054994005,167211.31606361564,1801807.246219,0.000067,0.000055,0.000067,0.000055,1801807.246219
,23/02/2023,1677110400,161906.82302485904,0.00012193911200000001,0.00012193911200000001,161906.82302485904,161906.82302485904,0.000066951157,0.000054987955000000006,0.000066951157,0.000054987955000000006,161906.82302485904,1803272.517958,0.000067,0.000055,0.000067,0.000055,1803272.517958
,24/02/2023,1677196800,174043.9150273362,0.000121928292,0.000121928292,174043.9150273362,174043.9150273362,0.000066981642,0.000054946650000000004,0.000066981642,0.000054946650000000004,174043.9150273362,1803283.5831459998,0.000067,0.000055,0.000067,0.000055,1803283.5831459998
,25/02/2023,1677283200,170262.429353479,0.00012194397399999999,0.00012194397399999999,170262.429353479,170262.429353479,0.000066974004,0.00005496997,0.000066974004,0.00005496997,170262.429353479,1803283.5831459998,0.000067,0.000055,0.000067,0.000055,1803283.5831459998
,26/02/2023,1677369600,165876.84367926794,0.000121961162,0.000121961162,165876.84367926794,165876.84367926794,0.000066965562,0.000054995600000000006,0.000066965562,0.000054995600000000006,165876.84367926794,1803283.5831459998,0.000067,0.000055,0.000067,0.000055,1803283.5831459998
,27/02/2023,1677456000,169672.75562179025,0.000122122,0.000122122,169672.75562179025,169672.75562179025,0.000067067,0.000055054999999999994,0.000067067,0.000055054999999999994,169672.75562179025,1803283.5831459998,0.000067,0.000055,0.000067,0.000055,1803283.5831459998
,28/02/2023,1677542400,168032.8143823323,0.000122055,0.000122055,168032.8143823323,168032.8143823323,0.000067,0.000055054999999999994,0.000067,0.000055054999999999994,168032.8143823323,1803275.465029,0.000067,0.000055,0.000067,0.000055,1803275.465029
,01/03/2023,1677628800,172573.4620032753,0.000122409,0.000122409,172573.4620032753,172573.4620032753,0.000067134,0.000055274999999999995,0.000067134,0.000055274999999999995,172573.4620032753,1803275.465029,0.000067,0.000055,0.000067,0.000055,1803275.465029
,02/03/2023,1677715200,166848.76115895892,0.00012200000000000001,0.00012200000000000001,166848.76115895892,166848.76115895892,0.000067,0.000055,0.000067,0.000055,166848.76115895892,1801355.600697,0.000067,0.000055,0.000067,0.000055,1801355.600697
,03/03/2023,1677801600,136308.5783637646,0.000122122,0.000122122,136308.5783637646,136308.5783637646,0.000067067,0.000055054999999999994,0.000067067,0.000055054999999999994,136308.5783637646,1801355.601477,0.000067,0.000055,0.000067,0.000055,1801355.601477
,04/03/2023,1677888000,96224.75159888824,0.00012204874,0.00012204874,96224.75159888824,96224.75159888824,0.000067067,0.000054981740000000005,0.000067067,0.000054981740000000005,96224.75159888824,1801354.442302,0.000067,0.000055,0.000067,0.000055,1801354.442302
,05/03/2023,1677974400,185125.83426503,0.000122122,0.000122122,185125.83426503,185125.83426503,0.000067067,0.000055054999999999994,0.000067067,0.000055054999999999994,185125.83426503,1801360.6525740002,0.000067,0.000055,0.000067,0.000055,1801360.6525740002
,06/03/2023,1678060800,185966.83737147335,0.000121969247,0.000121969247,185966.83737147335,185966.83737147335,0.000066969247,0.000055,0.000066969247,0.000055,185966.83737147335,1801340.953636,0.000067,0.000055,0.000067,0.000055,1801340.953636
,07/03/2023,1678147200,189486.40534972167,0.00012206700000000001,0.00012206700000000001,189486.40534972167,189486.40534972167,0.000067067,0.000055,0.000067067,0.000055,189486.40534972167,1801338.5556859998,0.000067,0.000055,0.000067,0.000055,1801338.5556859998
,08/03/2023,1678233600,187655.45539803334,0.000122244,0.000122244,187655.45539803334,187655.45539803334,0.000067134,0.00005511,0.000067134,0.00005511,187655.45539803334,1801365.5556859998,0.000067,0.000055,0.000067,0.000055,1801365.5556859998
,09/03/2023,1678320000,191632.87054498805,0.000121978962,0.000121978962,191632.87054498805,191632.87054498805,0.000066978962,0.000055,0.000066978962,0.000055,191632.87054498805,1801365.5556859998,0.000067,0.000055,0.000067,0.000055,1801365.5556859998
,10/03/2023,1678406400,188905.60309367944,0.00012211,0.00012211,188905.60309367944,188905.60309367944,0.000067,0.00005511,0.000067,0.00005511,188905.60309367944,1801365.5556859998,0.000067,0.000055,0.000067,0.000055,1801365.5556859998
,11/03/2023,1678492800,73510.90018362322,0.00012165395,0.00012165395,73510.90018362322,73510.90018362322,0.000067067,0.00005458695,0.000067067,0.00005458695,73510.90018362322,1801365.5556859998,0.000067,0.000055,0.000067,0.000055,1801365.5556859998
,12/03/2023,1678579200,195017.64297737688,0.000120053295,0.000120053295,195017.64297737688,195017.64297737688,0.000067134,0.000052919295000000006,0.000067134,0.000052919295000000006,195017.64297737688,1801365.616218,0.000067,0.000055,0.000067,0.000055,1801365.616218
,13/03/2023,1678665600,196013.79816314543,0.000121904405,0.000121904405,196013.79816314543,196013.79816314543,0.00006733499999999999,0.000054569405,0.00006733499999999999,0.000054569405,196013.79816314543,1801365.616218,0.000067,0.000055,0.000067,0.000055,1801365.616218
,14/03/2023,1678752000,195235.87816160228,0.00012226372,0.00012226372,195235.87816160228,195235.87816160228,0.00006733499999999999,0.00005492872,0.00006733499999999999,0.00005492872,195235.87816160228,1801368.106896,0.000067,0.000055,0.000067,0.000055,1801368.106896
,15/03/2023,1678838400,195936.3032560295,0.000122433,0.000122433,195936.3032560295,195936.3032560295,0.00006726800000000001,0.000055165,0.00006726800000000001,0.000055165,195936.3032560295,1801332.1619890002,0.000067,0.000055,0.000067,0.000055,1801332.1619890002
,16/03/2023,1678924800,190218.04887904407,0.000122689,0.000122689,190218.04887904407,190218.04887904407,0.000067469,0.00005522,0.000067469,0.00005522,190218.04887904407,1802519.2021060002,0.000067,0.000055,0.000067,0.000055,1802519.2021060002
,17/03/2023,1679011200,195645.43831491846,0.00012262200000000002,0.00012262200000000002,195645.43831491846,195645.43831491846,0.000067402,0.00005522,0.000067402,0.00005522,195645.43831491846,1802519.2400490001,0.000067,0.000055,0.000067,0.000055,1802519.2400490001
,18/03/2023,1679097600,196811.67725215913,0.00012262200000000002,0.00012262200000000002,196811.67725215913,196811.67725215913,0.000067402,0.00005522,0.000067402,0.00005522,196811.67725215913,1802519.322375,0.000067,0.000055,0.000067,0.000055,1802519.322375
,19/03/2023,1679184000,231400.39220772154,0.000122744,0.000122744,231400.39220772154,231400.39220772154,0.000067469,0.000055274999999999995,0.000067469,0.000055274999999999995,231400.39220772154,1802520.659685,0.000067,0.000055,0.000067,0.000055,1802520.659685
,20/03/2023,1679270400,231657.68348801543,0.000122512,0.000122512,231657.68348801543,231657.68348801543,0.000067402,0.00005511,0.000067402,0.00005511,231657.68348801543,1802531.0344699998,0.000067,0.000055,0.000067,0.000055,1802531.0344699998
,21/03/2023,1679356800,239148.61978149533,0.00012298799999999998,0.00012298799999999998,239148.61978149533,239148.61978149533,0.000067603,0.000055385,0.000067603,0.000055385,239148.61978149533,1802161.398795,0.000067,0.000055,0.000067,0.000055,1802161.398795
,22/03/2023,1679443200,199771.39321782454,0.000122512,0.000122512,199771.39321782454,199771.39321782454,0.000067402,0.00005511,0.000067402,0.00005511,199771.39321782454,1802161.398795,0.000067,0.000055,0.000067,0.000055,1802161.398795
,23/03/2023,1679529600,201591.28652759062,0.000122744,0.000122744,201591.28652759062,201591.28652759062,0.000067469,0.000055274999999999995,0.000067469,0.000055274999999999995,201591.28652759062,1800967.405437,0.000067,0.000055,0.000067,0.000055,1800967.405437
,24/03/2023,1679616000,193537.36029047635,0.0001225,0.0001225,193537.36029047635,193537.36029047635,0.00006733499999999999,0.000055165,0.00006733499999999999,0.000055165,193537.36029047635,1800967.405437,0.000067,0.000055,0.000067,0.000055,1800967.405437
,25/03/2023,1679702400,202032.52354192268,0.000122677,0.000122677,202032.52354192268,202032.52354192268,0.000067402,0.000055274999999999995,0.000067402,0.000055274999999999995,202032.52354192268,1800967.405437,0.000067,0.000055,0.000067,0.000055,1800967.405437
,26/03/2023,1679788800,200512.50705173385,0.000123,0.000123,200512.50705173385,200512.50705173385,0.00006767000000000001,0.00005533,0.00006767000000000001,0.00005533,200512.50705173385,1800967.405437,0.000067,0.000055,0.000067,0.000055,1800967.405437
,27/03/2023,1679875200,202477.2115721982,0.000122122,0.000122122,202477.2115721982,202477.2115721982,0.000067067,0.000055054999999999994,0.000067067,0.000055054999999999994,202477.2115721982,1800885.971718,0.000067,0.000055,0.000067,0.000055,1800885.971718
,28/03/2023,1679961600,200280.13068670224,0.000121975415,0.000121975415,200280.13068670224,200280.13068670224,0.000067,0.000054975415,0.000067,0.000054975415,200280.13068670224,1800885.971718,0.000067,0.000055,0.000067,0.000055,1800885.971718
,29/03/2023,1680048000,257065.6671469142,0.00012218899999999998,0.00012218899999999998,257065.6671469142,257065.6671469142,0.000067134,0.000055054999999999994,0.000067134,0.000055054999999999994,257065.6671469142,1800885.971718,0.000067,0.000055,0.000067,0.000055,1800885.971718
,30/03/2023,1680134400,225223.28201531066,0.000122122,0.000122122,225223.28201531066,225223.28201531066,0.000067067,0.000055054999999999994,0.000067067,0.000055054999999999994,225223.28201531066,1800130.136397,0.000067,0.000055,0.000067,0.000055,1800130.136397
,31/03/2023,1680220800,253170.387443915,0.000122299,0.000122299,253170.387443915,253170.387443915,0.000067134,0.000055165,0.000067134,0.000055165,253170.387443915,1800130.741211,0.000067,0.000055,0.000067,0.000055,1800130.741211
,01/04/2023,1680307200,249526.99301579682,0.00012206700000000001,0.00012206700000000001,249526.99301579682,249526.99301579682,0.000067067,0.000055,0.000067067,0.000055,249526.99301579682,1800131.247589,0.000067,0.000055,0.000067,0.000055,1800131.247589
,02/04/2023,1680393600,251294.72190092923,0.000122122,0.000122122,251294.72190092923,251294.72190092923,0.000067067,0.000055054999999999994,0.000067067,0.000055054999999999994,251294.72190092923,1800131.247589,0.000067,0.000055,0.000067,0.000055,1800131.247589
,03/04/2023,1680480000,212774.3928956375,0.000122122,0.000122122,212774.3928956375,212774.3928956375,0.000067067,0.000055054999999999994,0.000067067,0.000055054999999999994,212774.3928956375,1800136.9968919999,0.000067,0.000055,0.000067,0.000055,1800136.9968919999
,04/04/2023,1680566400,191550.7954189537,0.000122122,0.000122122,191550.7954189537,191550.7954189537,0.000067067,0.000055054999999999994,0.000067067,0.000055054999999999994,191550.7954189537,1800137.163388,0.000067,0.000055,0.000067,0.000055,1800137.163388
,05/04/2023,1680652800,155679.46216412104,0.00012194665,0.00012194665,155679.46216412104,155679.46216412104,0.000067,0.000054946650000000004,0.000067,0.000054946650000000004,155679.46216412104,1800137.163388,0.000067,0.000055,0.000067,0.000055,1800137.163388
,06/04/2023,1680739200,201669.36641435765,0.000122244,0.000122244,201669.36641435765,201669.36641435765,0.000067134,0.00005511,0.000067134,0.00005511,201669.36641435765,1800137.163388,0.000067,0.000055,0.000067,0.000055,1800137.163388
,07/04/2023,1680825600,205499.22364494507,0.000122122,0.000122122,205499.22364494507,205499.22364494507,0.000067067,0.000055054999999999994,0.000067067,0.000055054999999999994,205499.22364494507,1800161.390071,0.000067,0.000055,0.000067,0.000055,1800161.390071
,08/04/2023,1680912000,221040.016925428,0.000122122,0.000122122,221040.016925428,221040.016925428,0.000067067,0.000055054999999999994,0.000067067,0.000055054999999999994,221040.016925428,1800161.390071,0.000067,0.000055,0.000067,0.000055,1800161.390071
,09/04/2023,1680998400,156686.04739177984,0.00012206700000000001,0.00012206700000000001,156686.04739177984,156686.04739177984,0.000067067,0.000055,0.000067067,0.000055,156686.04739177984,1800161.390071,0.000067,0.000055,0.000067,0.000055,1800161.390071
,10/04/2023,1681084800,196248.17634955008,0.000122177,0.000122177,196248.17634955008,196248.17634955008,0.000067067,0.00005511,0.000067067,0.00005511,196248.17634955008,1800161.2257680001,0.000067,0.000055,0.000067,0.000055,1800161.2257680001
,11/04/2023,1681171200,198230.15385912062,0.00012194479000000001,0.00012194479000000001,198230.15385912062,198230.15385912062,0.000067067,0.000054877790000000004,0.000067067,0.000054877790000000004,198230.15385912062,1800161.2257680001,0.000067,0.000055,0.000067,0.000055,1800161.2257680001
,12/04/2023,1681257600,199497.46736206132,0.000122050995,0.000122050995,199497.46736206132,199497.46736206132,0.000067067,0.000054983995,0.000067067,0.000054983995,199497.46736206132,1800161.2257680001,0.000067,0.000055,0.000067,0.000055,1800161.2257680001
,13/04/2023,1681344000,247088.83725376552,0.000122033505,0.000122033505,247088.83725376552,247088.83725376552,0.000067067,0.000054966505000000003,0.000067067,0.000054966505000000003,247088.83725376552,1800164.9236390002,0.000067,0.000055,0.000067,0.000055,1800164.9236390002
,14/04/2023,1681430400,248680.3659084999,0.000122378,0.000122378,248680.3659084999,248680.3659084999,0.00006726800000000001,0.00005511,0.00006726800000000001,0.00005511,248680.3659084999,1800166.2473560001,0.000067,0.000055,0.000067,0.000055,1800166.2473560001
,15/04/2023,1681516800,252574.1255015309,0.000122256,0.000122256,252574.1255015309,252574.1255015309,0.000067201,0.000055054999999999994,0.000067201,0.000055054999999999994,252574.1255015309,1800166.2473560001,0.000067,0.000055,0.000067,0.000055,1800166.2473560001
,16/04/2023,1681603200,246187.13565591184,0.00012206700000000001,0.00012206700000000001,246187.13565591184,246187.13565591184,0.000067067,0.000055,0.000067067,0.000055,246187.13565591184,1800166.2473560001,0.000067,0.000055,0.000067,0.000055,1800166.2473560001
,17/04/2023,1681689600,252032.2754610768,0.00012198966,0.00012198966,252032.2754610768,252032.2754610768,0.000067,0.000054989660000000004,0.000067,0.000054989660000000004,252032.2754610768,1800166.2473560001,0.000067,0.000055,0.000067,0.000055,1800166.2473560001
