,Date,Timestamp,Liquity,Liquity,Liquity,Liquity,Liquity,Liquity
,,,CDP,CDP,CDP,CDP,CDP,CDP
,,,ethereum,Total,ethereum,Total,ethereum,Total
,,,TVL,TVL,Tokens(USD),Tokens(USD),Tokens,Tokens
,,,,,WETH,WETH,WETH,WETH
,15/07/2022,1657843200,417344220.04982334,417344220.04982334,417344220.04982334,417344220.04982334,351421.1302299812,351421.1302299812
,16/07/2022,1657929600,443555053.9709691,443555053.9709691,443555053.9709691,443555053.9709691,363438.64013877703,363438.64013877703
,17/07/2022,1658016000,495677979.55121976,495677979.55121976,495677979.55121976,495677979.55121976,364043.49293929874,364043.49293929874
,18/07/2022,1658102400,497103934.8247772,497103934.8247772,497103934.8247772,497103934.8247772,368186.95455639943,368186.95455639943
,19/07/2022,1658188800,576270817.2300333,576270817.2300333,576270817.2300333,576270817.2300333,366218.73652270524,366218.73652270524
,20/07/2022,1658275200,560727579.3878651,560727579.3878651,560727579.3878651,560727579.3878651,364063.90080955275,364063.90080955275
,21/07/2022,1658361600,554256093.4650679,554256093.4650679,554256093.4650679,554256093.4650679,363739.99584259297,363739.99584259297
,22/07/2022,1658448000,564005773.8821334,564005773.8821334,564005773.8821334,564005773.8821334,362560.1200049713,362560.1200049713
,23/07/2022,1658534400,579853662.7458178,579853662.7458178,579853662.7458178,579853662.7458178,362408.5392161361,362408.5392161361
,24/07/2022,1658620800,536193502.6841732,536193502.6841732,536193502.6841732,536193502.6841732,342587.1989446073,342587.1989446073
,25/07/2022,1658707200,537012917.1193788,537012917.1193788,537012917.1193788,537012917.1193788,343178.7152000734,343178.7152000734
,26/07/2022,1658793600,499287791.0192911,499287791.0192911,499287791.0192911,499287791.0192911,343668.0325293506,343668.0325293506
,27/07/2022,1658880000,493828491.42320174,493828491.42320174,493828491.42320174,493828491.42320174,342919.7826655661,342919.7826655661
,28/07/2022,1658966400,554278598.4148338,554278598.4148338,554278598.4148338,554278598.4148338,343040.88329774706,343040.88329774706
